# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_0.h5 0 
# uid: 21512
# jobid: 3480824
# start_time: 1667454937
# start_time_asci: Thu Nov  3 00:55:37 2022
# end_time: 1667454937
# end_time_asci: Thu Nov  3 00:55:37 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 327 bytes (compressed)
# record table: 145 bytes (compressed)
# POSIX module: 161 bytes (compressed), ver=4
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 13638 bytes (compressed), ver=1
# HEATMAP module: 65 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 12316929884430929403, file_name: /homes/yll6162/project_metadata/train64_0.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read      198         1209024             328      0.0017      0.0017
 X_POSIX       0   read      199         1208872             512      0.0017      0.0017
 X_POSIX       0   read      200         1217160             512      0.0017      0.0017
 X_POSIX       0   read      201         1225008             512      0.0017      0.0017
 X_POSIX       0   read      202         1244840             512      0.0017      0.0017
 X_POSIX       0   read      203         1304668             328      0.0017      0.0017
 X_POSIX       0   read      204         1260768             512      0.0017      0.0017
 X_POSIX       0   read      205         1288280             512      0.0017      0.0017
 X_POSIX       0   read      206         1290656             512      0.0017      0.0017
 X_POSIX       0   read      207         1298300             512      0.0017      0.0017
 X_POSIX       0   read      208         1322376             328      0.0017      0.0017
 X_POSIX       0   read      209         1304508             512      0.0017      0.0017
 X_POSIX       0   read      210         1315400             512      0.0018      0.0018
 X_POSIX       0   read      211         1317608             512      0.0018      0.0018
 X_POSIX       0   read      212         1319792             512      0.0018      0.0018
 X_POSIX       0   read      213         1322240             512      0.0018      0.0018
 X_POSIX       0   read      214         1324752             512      0.0018      0.0018
 X_POSIX       0   read      215         1327288             512      0.0018      0.0018
 X_POSIX       0   read      216         1329736             512      0.0018      0.0018
 X_POSIX       0   read      217         1329872             512      0.0018      0.0018
 X_POSIX       0   read      218         1329912             544      0.0018      0.0018
 X_POSIX       0   read      219         1330456             512      0.0018      0.0018
 X_POSIX       0   read      220         1391160             352      0.0018      0.0018
 X_POSIX       0   read      221         1334184             328      0.0018      0.0018
 X_POSIX       0   read      222         1334032             512      0.0018      0.0018
 X_POSIX       0   read      223         1337920             512      0.0018      0.0018
 X_POSIX       0   read      224         1341544             512      0.0018      0.0018
 X_POSIX       0   read      225         1352160             512      0.0018      0.0018
 X_POSIX       0   read      226         1377756             328      0.0018      0.0018
 X_POSIX       0   read      227         1358392             512      0.0018      0.0018
 X_POSIX       0   read      228         1368496             512      0.0018      0.0018
 X_POSIX       0   read      229         1370872             512      0.0018      0.0018
 X_POSIX       0   read      230         1375024             512      0.0018      0.0018
 X_POSIX       0   read      231         1388648             328      0.0018      0.0018
 X_POSIX       0   read      232         1377596             512      0.0018      0.0018
 X_POSIX       0   read      233         1381936             512      0.0018      0.0018
 X_POSIX       0   read      234         1384144             512      0.0018      0.0018
 X_POSIX       0   read      235         1386328             512      0.0019      0.0019
